
Generation,S37 Beneficial,S37 Detrimental,S37 Fitness
317,413.18,277.61,1.4890336991698796
318,413.52,276.8,1.4945174872362563
319,413.77,276.94,1.4947266496227676
320,413.51,277.13,1.492772121493153
321,413.53,277.43,1.4911017108124964
322,413.2,277.63,1.4887415930351127
323,413.25,277.91,1.4875654857539997
324,413.14,277.89,1.4873324651122266
325,412.86,277.94,1.4861207822366092
326,413.08,277.6,1.4887550324259538
327,412.66,277.72,1.4864846699302092
328,413.09,277.77,1.487677582253029
329,413.18,277.44,1.4896470415933467
330,413.77,277.79,1.4899480523414221
331,413.88,277.61,1.4914174449824427
332,413.9,277.58,1.4916820008499692
333,414.07,278.13,1.4892595767396986
334,414.23,278.57,1.4876395413611316
335,413.71,277.99,1.4887628898318725
336,413.92,278.48,1.4869795081082426
337,414.1,277.87,1.4908560623293214
338,414.41,277.88,1.4918924646603589
339,414.37,278.08,1.4907474788928488
340,414.42,277.33,1.4948554575257764
341,413.86,276.91,1.4950632658159657
342,414.15,277.16,1.4947888027446274
343,414.37,276.79,1.4976119145951583
344,414.18,277.27,1.494384223021878
345,414.23,276.9,1.4966306903621258
346,414.37,276.75,1.4979126189133138
347,414.42,277.06,1.4963888647915757
348,413.7,276.7,1.4956325753430142
349,413.35,276.55,1.4951181768431576
350,412.78,276.05,1.495638218450063
351,412.84,276.73,1.4923550680267175
352,412.6,277.13,1.4892054989362953
353,413.31,277.78,1.4883356925398739
354,413.12,278.52,1.4839092761352726
355,413.17,278.26,1.4854848560774807
356,413.29,278.09,1.4868718794221472
357,413.47,278.46,1.4856989078073983
358,413.48,279.31,1.4811318211026796
359,413.15,278.74,1.4829220340641003
360,412.8,278.3,1.4839162081108876
361,412.62,277.7,1.4864744715502454
362,412.59,277.77,1.4861061706446845
363,413.36,277.62,1.4895694271970956
364,412.92,277.16,1.4903851331395785
365,413.33,277.36,1.490740806364411
366,413.2,277.37,1.4902336423217712
367,414.25,277.63,1.492684307757363
368,414.23,277.74,1.4920258040485592
369,415.27,277.75,1.4957455242681579
370,416.44,277.7,1.500513227452106
371,416.01,277.45,1.5001418099738149
372,415.87,277.63,1.498727555386254
373,416.34,277.92,1.498805765381262
374,415.83,277.76,1.4977381078500245
375,414.86,278.03,1.4928091425185313
376,414.92,277.78,1.4944307905721246
377,415.24,278.08,1.4938707424762652
378,415.08,277.33,1.497230850623475
379,415.06,276.95,1.4991244404906305
380,415.61,277.08,1.5005017100361673
381,416.58,277.2,1.5035816632866312
382,417.22,277.34,1.5052374138655857
383,417.69,277.24,1.507418650985074
384,417.7,277.1,1.5081581662070953
385,417.38,277.01,1.5073224317105671
386,417.51,277.36,1.5059085892215673
387,417.87,277.42,1.506966746152849
388,417.43,277.79,1.5033582301061683
389,417.8,277.84,1.5044273843970533
390,417.7,276.72,1.5101733850296002
391,417.96,276.08,1.514519370143422
392,417.65,275.72,1.5154548690556562
393,417.04,275.43,1.5149113048573883
394,416.77,275.21,1.5151136151519358
395,418.47,274.74,1.5238266433285557
396,418.63,274.6,1.5252285781472548
397,418.84,274.2,1.5279985420160802
398,419.55,274.62,1.5282962901772092
399,420.3,274.66,1.530996030561872
400,420.06,274.16,1.532912234935702
401,421.32,274.3,1.5369378289940885
402,421.8,274.68,1.5366601754730889
403,421.15,274.45,1.5356833131324807
404,420.5,274.43,1.5333612971307227
405,420.92,274.46,1.535070526735812
406,421.04,274.34,1.536019457659326
407,421.33,273.83,1.5397562163198792
408,421.42,273.73,1.5405806363671402
409,421.54,273.7,1.5412762164206821
410,421.96,273.11,1.546073571768478
411,422.65,273.34,1.547380686033991
412,422.72,273.2,1.5482225495386046
413,423.4,273.46,1.5492431088117737
414,423.9,273.15,1.5528322120608382
415,423.83,272.64,1.5552991377642644
416,423.3,272.81,1.5523579557590903
417,423.32,272.88,1.5519201529116584
418,423.26,273.07,1.5505250184686008
419,422.76,272.84,1.5499703022272502
420,423.0,272.55,1.5526017014502846
421,422.23,272.61,1.5493427352537892
422,422.37,272.93,1.5481138654184143
423,422.35,272.99,1.5476364498682365
424,422.35,273.24,1.5463914137146637
425,422.22,272.74,1.5487201944950053
426,421.91,272.67,1.5480553796504517
427,421.94,272.24,1.5507202389536119
428,421.33,272.09,1.5492678926841215
429,421.92,272.12,1.5514135089959833
430,421.81,272.13,1.5510041499372675
431,422.26,272.21,1.5521092599621817
432,422.31,272.55,1.5502536780472485
433,422.33,272.69,1.5494674626924907
434,422.31,272.28,1.551740184889813
435,422.62,272.48,1.551717938054534
436,422.35,272.82,1.5487131271835408
437,422.5,273.44,1.5458190878066358
438,422.62,273.7,1.5450795850398353
439,421.87,273.42,1.5438833706811075
440,421.38,273.48,1.5416520761340937
441,421.16,273.4,1.5411733357157624
442,421.76,273.65,1.5420391060229497
443,421.77,273.27,1.5441869328349604
444,420.83,272.92,1.5426813176698793
445,420.62,272.44,1.5446662882133877
446,420.94,271.86,1.549112799969674
447,420.95,271.38,1.5519591832036017
448,421.49,271.24,1.5547602149139237
449,421.34,270.7,1.5570581218104926
450,422.37,270.93,1.5594782891528505
451,422.37,270.69,1.5607716458181526
452,422.09,271.13,1.557186219054193
453,422.65,271.05,1.5597043857959785
454,423.29,271.39,1.5602001859967816
455,423.31,271.71,1.5584442283312085
456,423.11,272.01,1.5560641875748604
457,423.01,272.8,1.5513079989522214
458,422.78,272.81,1.5503875986465738
459,422.18,272.74,1.548579179861483
460,421.49,273.12,1.54393902885497
461,421.09,272.89,1.5438358158002048
462,420.63,272.74,1.5430163100124927
463,420.55,272.81,1.5423872972969221
464,420.33,273.05,1.5402423913176744
465,419.94,272.77,1.5403530311706382
466,419.95,272.98,1.539171684964969
467,419.89,273.06,1.5385317870978503
468,420.2,273.26,1.5384132627185767
469,420.09,273.57,1.5362908280485421
470,419.39,272.9,1.537470019295454
471,419.84,272.61,1.540741838382022
472,419.85,272.85,1.5394169382050162
473,420.21,273.16,1.5390033343492318
474,420.16,272.48,1.5425082699848298
475,418.76,272.66,1.536123702114285
476,418.54,273.02,1.5333314763461359
477,419.48,273.31,1.5351128055876961
478,418.87,273.69,1.5307311829796024
479,420.01,273.57,1.535648937347042
480,420.44,273.32,1.538599581751949
481,421.36,273.5,1.5410387979947535
482,421.63,273.6,1.5416481820092127
483,421.83,274.32,1.5384142542005785
484,421.75,274.32,1.538017011662319
485,421.78,274.29,1.538253242501643
486,421.17,274.29,1.5360411413375785
487,421.59,274.35,1.5372911191438965
488,422.28,274.35,1.5397496849469179
489,422.9,274.58,1.540738048659722
490,422.74,274.47,1.540757076824248
491,422.49,274.76,1.5381835629457785
492,421.98,274.83,1.5358824002058784
493,422.13,274.84,1.536335595198524
494,423.29,275.08,1.5393355299964526
495,423.15,275.43,1.5367791080985258
496,423.54,275.81,1.536081811945204
497,424.42,275.84,1.5392217606456515
498,424.84,275.71,1.5415001428015498
499,425.45,276.07,1.5417918517205336
500,424.24,276.02,1.5376634697891152
501,425.03,276.3,1.5390105290873126
502,424.99,276.17,1.5396868766141336
503,424.16,275.41,1.5408181622642365
504,424.45,275.54,1.5412400221555072
505,425.14,275.82,1.5422007537902809
506,425.22,275.57,1.5437611173277828
507,424.12,275.29,1.5413411137843607
508,423.32,275.11,1.5394098776832732
509,423.22,274.94,1.540178564962124
510,423.1,275.47,1.5368406557806216
511,422.9,275.82,1.5341310037857752
512,422.2,275.79,1.5316981478964475
513,422.43,275.65,1.533342117509738
514,422.94,276.74,1.529190339825761
515,422.94,277.21,1.5267703308069644
516,423.35,276.95,1.5294853908766326
517,423.2,277.04,1.5284034588865432
518,423.12,277.2,1.5272592783156316
519,423.28,277.4,1.5267503753554406
520,423.67,277.54,1.5276271957697196
521,423.36,277.44,1.527211368127326
522,422.48,276.88,1.5269636790512475
523,421.87,276.07,1.5291579305575267
524,421.54,275.39,1.5316469313831527
525,422.24,275.5,1.5334446402650967
526,422.37,274.62,1.5387537123872443
527,422.37,274.64,1.5385912463032192
528,422.34,275.23,1.535334966495677
529,421.35,274.87,1.533643188132828
530,420.09,274.67,1.5300894521807562
531,419.26,274.49,1.5279750340368188
532,419.19,274.78,1.526172248154164
533,419.95,275.08,1.5275471099224962
534,420.32,274.71,1.5309436052614922
535,421.07,275.07,1.531704962758993
536,421.84,274.98,1.5352226711938584
537,422.46,275.27,1.5358033250447634
538,421.95,275.29,1.533778809963517
539,421.61,275.03,1.533844780656612
540,421.88,275.1,1.5344249282894113
541,421.97,274.97,1.53558922970834
542,421.59,274.83,1.5348793979543225
543,421.79,274.5,1.5373735362393481
544,421.48,274.62,1.5355284964934481
545,422.29,274.43,1.5397444600544647
546,422.05,273.8,1.542446768280664
547,422.2,273.14,1.5466492117635675
548,421.69,273.19,1.5446766778136853
549,421.94,273.35,1.5445975877125684
550,422.42,273.29,1.546762083941164
551,422.62,273.4,1.546851294901539
552,422.59,273.21,1.5479420799800565
553,422.46,273.31,1.5468767536184527
554,422.59,273.48,1.5462846771090952
555,422.49,273.41,1.5461188360745461
556,422.42,273.38,1.5460852564040564
557,421.73,272.94,1.5459778841575278
558,421.81,272.68,1.547640387899808
559,422.04,272.5,1.549538461244345
560,421.83,271.27,1.5557477564409996
561,421.59,270.4,1.559869224654897
562,421.13,269.56,1.5629370868082517
563,421.22,269.69,1.5626442682295327
564,420.83,270.35,1.5574338236054532
565,420.38,270.77,1.5532882022093963
566,420.37,270.26,1.5561727049317637
567,420.39,270.17,1.5567523675356876
568,420.27,270.24,1.5558362790876499
569,420.12,270.74,1.5525153003843204
570,421.36,270.85,1.5564314041811413
571,420.97,270.69,1.556083939502939
572,421.03,270.35,1.5582720157831742
573,420.96,269.85,1.560800987115358
574,420.3,269.18,1.5621186362600923
575,420.45,268.7,1.565553740315795
576,420.67,268.4,1.568155516761607
577,420.83,268.11,1.5706057777641862
578,420.75,267.89,1.5718533394091299
579,420.9,268.17,1.5709317879958657
580,420.28,268.54,1.566415580967964
581,420.42,268.9,1.5649791550186092
582,420.36,268.46,1.567228730615753
583,420.5,268.17,1.5693046559353934
584,420.39,267.97,1.5700527362526882
585,421.97,267.57,1.5783492827194576
586,422.17,267.1,1.5819794907073292
587,421.9,266.57,1.584072834140165
588,421.79,266.97,1.5813167792522944
589,422.05,266.69,1.5839835962047035
590,421.82,266.12,1.5865900368522796
591,422.45,265.59,1.5921387624745416
592,423.01,265.08,1.5971344031497394
593,422.48,264.46,1.5985882213913496
594,422.6,264.64,1.5977579380140774
595,422.35,264.42,1.5981594993697845
596,423.15,264.03,1.6035758410728322
597,422.93,263.98,1.6029342099982355
598,422.62,264.29,1.5999043512348112
599,422.4,264.73,1.5965250450836928
600,421.97,264.72,1.5949969420225103
601,421.08,264.43,1.5932289588065718
602,420.62,264.63,1.590123085316218
603,420.99,264.35,1.593211702090463
604,420.84,264.52,1.591613883453043
605,420.09,264.81,1.5869541658295245
606,420.06,265.2,1.584625113130988
607,420.25,265.25,1.5850791059267848
608,420.24,264.86,1.5873329751129648
609,420.48,265.19,1.586265344097062
610,419.14,265.0,1.5821960130947699
611,418.82,264.92,1.5813426744476422
612,418.75,265.15,1.5796718475680092
613,418.18,265.37,1.576217492466324
614,418.27,265.52,1.5757494220261936
615,418.79,265.82,1.5759250175996862
616,419.06,265.76,1.577108579854627
617,419.89,265.66,1.5809151881041459
618,420.9,266.28,1.5812364219364243
619,420.6,266.34,1.5798133461754238
620,420.73,266.26,1.5808816056430366
621,420.22,266.48,1.577690822764206
622,419.75,266.47,1.576106429427898
623,419.34,266.38,1.5751889959029706
624,419.05,266.51,1.5734111358074232
625,418.06,266.07,1.5719991109796467
626,417.35,265.94,1.5701073143239566
627,417.71,266.15,1.5702610199815548
628,416.97,265.95,1.5686410339977932
629,416.19,265.84,1.5662550685968721
630,416.17,266.69,1.5611459613324892
631,415.64,266.91,1.5578638607675168
632,414.52,266.43,1.5564458224243407
633,414.21,266.0,1.557801536321185
634,413.6,266.0,1.5556947334005133
635,413.22,266.3,1.5525324647886802
636,413.43,266.07,1.5546297534832993
637,411.36,265.4,1.5506969100619938
638,410.87,265.52,1.5481375359510863
639,411.32,266.16,1.5460415143321518
640,411.09,266.96,1.5408270744758241
641,410.92,267.11,1.5393370884007276
642,410.9,266.93,1.5404071773197208
643,410.75,267.33,1.5373350797879803
644,410.77,267.41,1.537085854770196
645,410.65,267.52,1.5358070693534904
646,410.93,267.5,1.5370128613120357
647,411.31,267.06,1.5408627527468957
648,411.1,267.12,1.5397702784727119
649,411.46,267.19,1.5406056293268826
650,411.29,266.65,1.5429405533046014
651,412.43,267.83,1.5404539401094015
652,412.85,268.08,1.5405799286970276
653,413.49,268.42,1.5409600114370436
654,413.63,269.24,1.5368401802861476
655,413.68,269.3,1.5366635632500125
656,413.71,269.4,1.5360581692501
657,414.2,269.36,1.538043016109315
658,413.46,269.43,1.5349179050606083
659,413.69,270.06,1.5322385647918582
660,414.39,270.6,1.5317704806131396
661,414.77,270.76,1.5323877480390544
662,414.93,270.87,1.532375778113954
663,415.06,271.23,1.5307815613159017
664,414.54,271.86,1.525339768988511
665,414.76,271.53,1.527962813825159
666,414.77,271.42,1.5286343077897113
667,414.0,271.46,1.5254915480006577
668,413.72,271.4,1.5248205033446012
669,414.06,271.5,1.5255350691036094
670,413.94,271.46,1.5252882227289228
671,413.81,271.72,1.5233507715188275
672,413.37,271.62,1.5222763758187168
673,413.57,271.83,1.5218748396503514
674,413.26,271.54,1.5223265693534995
675,413.73,272.14,1.520731048269191
676,414.17,272.32,1.5213226031584448
677,414.67,272.7,1.5211480731387885
678,415.28,273.28,1.5201284574578307
679,414.7,273.24,1.518051118758173
680,413.9,273.55,1.5134886453399274
681,413.96,273.24,1.5154125464712274
682,413.4,273.21,1.5136818646551427
683,413.74,274.05,1.5102934108604515
684,413.76,274.47,1.5080929459165304
685,414.02,274.62,1.5082684850568202
686,413.65,274.27,1.5090288342468312
687,413.41,273.97,1.509814617298445
688,413.43,274.22,1.5084964558972658
689,414.07,274.59,1.50872217160138
690,413.84,275.09,1.5052139804396167
691,414.05,275.05,1.506060383380683
692,414.61,274.93,1.5089004649180475
693,413.45,274.72,1.505576531648902
694,413.6,273.92,1.510614396039009
695,414.01,273.37,1.515160923528234
696,413.94,273.38,1.5149073389409924
697,414.15,273.16,1.5167633415446427
698,413.75,273.18,1.5150621886189115
699,413.51,273.21,1.5139867666338231
700,413.36,273.39,1.5124165190148309
701,413.31,273.6,1.5111049796381113
702,412.84,273.59,1.5094213131895498
703,412.93,274.08,1.5071202512305828
704,412.59,273.48,1.509124825307973
705,412.61,273.95,1.5065968770452107
706,413.01,274.02,1.507687193133866
707,413.23,274.31,1.5069862095802342
708,413.36,274.16,1.5083071624462
709,413.19,274.22,1.5073432608325725
710,412.47,274.0,1.5059378639167615
711,412.03,274.21,1.5031147063746182
712,411.69,274.31,1.5012947109113057
713,412.17,274.33,1.5029165983212913
714,412.14,274.12,1.5038926885306518
715,412.65,274.63,1.5029556630400374
716,411.75,274.37,1.5010892582889042
717,412.41,274.03,1.5053704141722783
718,412.36,274.37,1.5033990789872254
719,411.59,274.62,1.4991122970458326
720,411.85,275.05,1.497701133350808
721,411.84,275.12,1.4973260384355325
722,412.31,275.42,1.4975591110334099
723,412.4,275.25,1.4989381158803352
724,412.38,274.8,1.5012701243270505
725,412.2,274.87,1.5002099034117313
726,412.67,275.09,1.5007741741952794
727,412.4,274.99,1.5002712938550922
728,412.94,275.23,1.500948162851385
729,412.87,274.35,1.5054079456243437
730,413.36,274.15,1.5082178795682806
731,413.44,274.47,1.5068192954108026
732,412.82,274.09,1.5066227289746355
733,413.48,274.45,1.5070390035462915
734,413.77,274.37,1.5085469155009081
735,414.4,274.19,1.5118853041296425
736,414.57,274.5,1.5107551528884273
737,414.62,274.24,1.5122796973555694
