Generation,Grand Mean #Beneficial,Standard Error Beneficial,Grand Mean #Detrimental,Standard Error Detrimental,Grand Mean #Fitness,Standard Error Fitness,,S1 Beneficial,S1 Detrimental,S1 Fitness,,S2 Beneficial ,S2 Detrimental,S2 Fitness,,S3 Beneficial ,S3 Detrimental,S3 Fitness,,S4 Beneficial ,S4 Detrimental,S4 Fitness,,S5 Beneficial ,S5 Detrimental,S5 Fitness,,S6 Beneficial ,S6 Detrimental,S6 Fitness,,S7 Beneficial ,S7 Detrimental,S7 Fitness,,S8 Beneficial ,S8 Detrimental,S8 Fitness,,S9 Beneficial ,S9 Detrimental,S9 Fitness,,S10 Beneficial ,S10 Detrimental,S10 Fitness,,S11 Beneficial ,S11 Detrimental,S11 Fitness,,S12 Beneficial ,S12 Detrimental,S12 Fitness,,S13 Beneficial ,S13 Detrimental,S13 Fitness,,S14 Beneficial ,S14 Detrimental,S14 Fitness,,S15 Beneficial ,S15 Detrimental,S15 Fitness,,S16 Beneficial ,S16 Detrimental,S16  Fitness,,S17 Beneficial ,S17 Detrimental,S17 Fitness,,S18 Beneficial ,S18 Detrimental,S18 Fitness,,S19 Beneficial ,S19 Detrimental,S19 Fitness,,S20 Beneficial ,S20 Detrimental,S20 Fitness,,S21 Beneficial ,S21 Detrimental,S21 Fitness,,S22 Beneficial ,S22 Detrimental,S22 Fitness,,S23 Beneficial ,S23 Detrimental,S23 Fitness,,S24 Beneficial ,S24 Detrimental,S24 Fitness,,S25 Beneficial ,S25 Detrimental,S25 Fitness,,S26 Beneficial ,S26 Detrimental,S26  Fitness,,S27 Beneficial ,S27 Detrimental,S27 Fitness,,S28 Beneficial ,S28 Detrimental,S28 Fitness,,S29 Beneficial ,S29 Detrimental,S29 Fitness,,S30 Beneficial ,S30 Detrimental,S30 Fitness
11,273.6166667,,263.951,,,,,272.83,263.83,1.034356973,,272.85,264.45,1.032350691,,272.84,262.56,1.039631401,,271.82,264.96,1.026232152,,273.47,263.09,1.03978074,,273.88,263.42,1.039989545,,272.47,264.78,1.029298898,,273.62,263.68,1.038119864,,272.84,264.44,1.032073523,,274.55,263.5,1.042474856,,274.45,263.05,1.04381262,,274.56,263.6,1.041816318,,273.36,264.7,1.032997153,,273.57,264.66,1.034006023,,275.75,263.93,1.045092,,271.65,266.31,1.020392078,,273.66,262.68,1.042248939,,275.09,264.02,1.042284753,,273.79,265,1.03354498,,273.56,263.03,1.040357706,,275.01,262.19,1.049224965,,274.43,263.68,1.041040187,,274.21,264.06,1.038807993,,273.3,264.83,1.032335001,,274.05,264.06,1.038235843,,272.1,263.74,1.032063347,,273.37,264.34,1.034595552,,274.44,263.87,1.040361189,,274.17,263.5,1.040902564,,272.81,264.57,1.031527049
12,274.9053333,,264.1583333,,,,,274.21,264.2,1.038243634,,274.18,264.67,1.036406539,,273.86,262.45,1.043845939,,272.74,265.17,1.028897174,,275.31,263.05,1.047023348,,275.35,263.91,1.043664077,,273.94,264.77,1.034873779,,274.7,263.87,1.041538179,,274.05,264.92,1.034804096,,276.17,263.21,1.049868066,,275.73,262.94,1.049017017,,276.07,263.93,1.046258205,,274.16,265.2,1.034122384,,275.06,264.84,1.038951051,,277.05,264.34,1.048455938,,273.26,266.17,1.026913916,,275.13,262.96,1.046756466,,276.48,264.17,1.046950503,,274.86,265.37,1.036087225,,274.85,263.31,1.044197552,,276.19,262.14,1.053945215,,275.73,264.28,1.043677645,,275.67,264.27,1.043500571,,274.7,264.78,1.03791887,,275.52,264.31,1.042776664,,272.51,264.29,1.031528757,,274.88,264.3,1.040494819,,275.75,264.08,1.044467679,,275.84,263.97,1.045445537,,273.21,264.88,1.031790936
13,276.204,,264.2396667,,,,,275.36,264.15,1.042807581,,275.98,265.17,1.041263223,,275.19,262.1,1.050344304,,273.89,265.37,1.032489599,,276.73,262.65,1.054024985,,276.63,264.14,1.047632769,,275.14,265.09,1.038248668,,275.75,263.82,1.045671103,,275.99,265.44,1.040121991,,277.01,263.4,1.052164834,,276.92,262.4,1.055652184,,276.95,264.64,1.046829028,,275.55,265.1,1.03966568,,276.84,265.02,1.044900594,,278.33,264.1,1.054240765,,274.82,266.35,1.032078538,,276.7,262.92,1.05305065,,278.1,264.59,1.051460372,,276.08,265.64,1.039647651,,276.52,263.3,1.050645812,,277.58,261.76,1.060673548,,276.88,264.63,1.046587317,,277.15,264.45,1.048471125,,275.7,264.96,1.040990861,,276.41,264.84,1.044105206,,274.03,263.58,1.040141655,,275.76,264.63,1.042543625,,276.65,264.01,1.048178062,,277.08,263.9,1.050450956,,274.4,265.04,1.035722343
14,277.4743333,,264.4066667,,,,,275.75,264.51,1.04284544,,278.01,265.09,1.049237473,,276.63,262.25,1.055368152,,275.34,265.37,1.037895402,,277.8,262.52,1.05846425,,278,263.96,1.053747295,,276.05,265.56,1.039811407,,276.56,263.74,1.049059259,,277.43,265.36,1.04595192,,278.44,263.5,1.057240302,,278.14,262.55,1.059673483,,277.62,264.7,1.049165962,,277,265.47,1.04369444,,278.3,265.32,1.049234547,,279.56,264.55,1.057179177,,276.09,266.55,1.036051356,,278.18,263.36,1.056873696,,279.01,265.05,1.053092695,,277.15,266.13,1.041826825,,277.91,263.76,1.054093762,,279.24,262.29,1.064884103,,278.19,265.05,1.049936762,,278.06,264.76,1.050661596,,277.08,265.32,1.044834307,,278.39,265.17,1.050311656,,275.17,263.15,1.046175633,,276.77,264.44,1.047053301,,278,264.24,1.052430752,,278.51,263.71,1.056595088,,275.85,264.77,1.042259727
15,278.6493333,,264.5973333,,,,,277.16,265.06,1.045999178,,278.88,265.5,1.05090077,,277.78,262.34,1.059364035,,276.66,265.62,1.041869049,,279.3,262.93,1.062560018,,278.86,263.76,1.057755873,,277.13,266.23,1.041176157,,277.82,263.39,1.055265641,,278.44,265.38,1.04961506,,279.58,263.54,1.061365298,,279.56,262.82,1.063984782,,278.9,264.83,1.053604058,,278.27,265.36,1.048844329,,279.32,265.73,1.051458136,,280.88,264.62,1.061876996,,276.9,266.73,1.03837064,,279.49,264.01,1.059226661,,279.83,265.66,1.053783291,,278.27,266.08,1.04621276,,278.83,263.76,1.057724831,,281.03,262.62,1.070461772,,279.4,265.2,1.053899596,,279.49,264.75,1.056131256,,278.02,265.35,1.0481951,,279.78,265.44,1.054468492,,276.75,263.4,1.051315851,,277.77,264.69,1.049828004,,279.35,264.29,1.057250879,,279.78,263.94,1.060446991,,276.25,264.89,1.043223574
16,279.8756667,,264.812,,,,,278.36,265.69,1.048065428,,280.69,265.6,1.057419843,,279.11,262.28,1.064701429,,277.94,266.01,1.045204642,,280.25,263.32,1.064617811,,280.06,264.17,1.060671938,,278.33,266.7,1.043913625,,279.29,263.99,1.058537682,,279.43,265.44,1.053010973,,280.54,263.56,1.065024561,,280.76,263.07,1.067502499,,280.31,265.55,1.056044035,,279.39,265.79,1.051411764,,280.67,266.26,1.054455933,,282.2,265.15,1.064682676,,278.25,267.03,1.0423503,,280.68,263.78,1.064671769,,280.48,265.74,1.055839347,,279.16,266.19,1.049098417,,279.61,264.35,1.058211851,,282.23,262.95,1.073573076,,280.78,265.32,1.058600561,,280.72,264.73,1.060858836,,279.39,265.32,1.053415208,,280.49,265.67,1.056182956,,278.37,263.07,1.058780208,,279.21,264.72,1.05510277,,281.07,263.79,1.06593108,,280.6,263.59,1.064902556,,277.9,265.53,1.046911081
17,281.2536667,,265.0323333,,,,,279.5,265.35,1.053589503,,281.84,266.07,1.059867522,,281.08,262.91,1.069807097,,279.26,266.79,1.047104489,,281.83,263.65,1.069406715,,282.07,264.24,1.068097507,,280.2,267.23,1.048876259,,279.96,263.3,1.063722628,,280.79,265.82,1.056547666,,281.98,263.56,1.07053112,,282.63,263.61,1.07250397,,281.33,265.92,1.058384129,,280.17,266.04,1.053401349,,281.9,266.5,1.058238998,,283.69,265.23,1.070114609,,279.5,266.97,1.047251948,,281.98,264.12,1.068213306,,282.68,266.33,1.061866092,,280.16,265.95,1.053760873,,280.73,264.61,1.061365116,,283.57,263.28,1.077373119,,281.97,264.98,1.064379543,,281.77,264.95,1.063933446,,280.34,265.38,1.056751911,,281.8,265.97,1.059983145,,280.15,263.08,1.065550776,,280.43,265.59,1.056251463,,282.52,263.76,1.071484978,,282.31,264.02,1.069700013,,279.47,265.76,1.051964467
18,282.498,,265.1413333,,,,,281.06,265.7,1.058008432,,282.69,266.07,1.062884598,,282.53,262.76,1.075882358,,280.12,267.36,1.048098556,,282.67,263.89,1.071663662,,283.14,264.47,1.071113639,,281.76,266.71,1.056876193,,281.32,263.08,1.069711724,,282.36,266.5,1.059835944,,282.88,263.62,1.073702555,,283.47,263.92,1.074512062,,281.65,265.64,1.060715923,,281.3,265.74,1.058859515,,283.32,266.01,1.06558685,,284.98,264.63,1.077520109,,280.95,267.14,1.052034576,,283.07,264.16,1.072150115,,283.8,266.32,1.066259777,,281.56,265.93,1.059087498,,282.23,265.23,1.064514849,,284.26,263.65,1.078503782,,282.78,265.08,1.067089129,,283.01,265.11,1.068058091,,281.78,265.61,1.061287944,,283.59,266.18,1.065831039,,281.31,263.44,1.068384854,,281.96,265.98,1.060558621,,284.44,264.26,1.07674766,,283.9,264.33,1.074635321,,281.05,265.72,1.058050647
19,283.5676667,,265.2976667,,,,,282.64,265.94,1.063019971,,283.76,266.68,1.064528446,,284.07,262.96,1.080797019,,281.73,267.37,1.054287677,,283.37,264.15,1.073192742,,284.02,264.65,1.073681706,,282.98,267.02,1.060213591,,282.8,263.51,1.073540722,,283.46,266.31,1.064705261,,283.94,263.91,1.076442381,,284.14,264.52,1.07465581,,283.15,265.79,1.065822152,,282.97,266.09,1.06388173,,284.09,266.25,1.067469022,,285.86,264.73,1.080342794,,282.22,267.3,1.056184589,,283.57,263.92,1.074843318,,284.7,265.96,1.070954324,,282.67,266.12,1.062506269,,283.11,265.27,1.06766068,,285.07,263.94,1.080329746,,284.04,264.9,1.072601952,,283.91,265.06,1.07163025,,282.55,266.15,1.06189457,,284.79,267.03,1.067166701,,282.04,263.32,1.071583492,,282.68,265.64,1.064650841,,285.19,264.55,1.078408908,,285.41,264.46,1.079853357,,282.1,265.43,1.063117761
20,284.914,,265.5116667,,,,,284.16,266.26,1.067473472,,284.96,266.36,1.070248841,,285.9,262.7,1.088775353,,283.4,267.44,1.060331892,,284.33,265.11,1.072941321,,285.22,264.97,1.076955941,,283.77,266.83,1.063889419,,284.62,264.17,1.077748,,284.93,267.12,1.067062805,,285.63,264,1.082456811,,285.23,264.62,1.078265429,,284.06,265.38,1.070887205,,284.8,266.21,1.070456034,,285.08,266.17,1.071487368,,286.96,264.96,1.083601858,,283.3,267.51,1.059387106,,285.28,263.92,1.081315575,,286.73,266.09,1.078174341,,284.1,266.38,1.066846599,,284.43,265.58,1.071456826,,286.61,264.69,1.083106069,,285.6,265.38,1.076555651,,284.93,265.01,1.075710304,,283.12,266.49,1.062693251,,286.24,267.01,1.072713802,,283.8,263.71,1.076632208,,283.79,265.88,1.067879206,,286.87,264.78,1.083930993,,286.61,264.79,1.083176427,,282.96,265.83,1.064736292
