Generation,Grand Mean #Beneficial,Standard Error Beneficial,Grand Mean #Detrimental,Standard Error Detrimental,Grand Mean #Fitness,Standard Error Fitness,,S1 Beneficial,S1 Detrimental,S1 Fitness,,S2 Beneficial ,S2 Detrimental,S2 Fitness,,S3 Beneficial ,S3 Detrimental,S3 Fitness,,S4 Beneficial ,S4 Detrimental,S4 Fitness,,S5 Beneficial ,S5 Detrimental,S5 Fitness,,S6 Beneficial ,S6 Detrimental,S6 Fitness,,S7 Beneficial ,S7 Detrimental,S7 Fitness,,S8 Beneficial ,S8 Detrimental,S8 Fitness,,S9 Beneficial ,S9 Detrimental,S9 Fitness,,S10 Beneficial ,S10 Detrimental,S10 Fitness,,S11 Beneficial ,S11 Detrimental,S11 Fitness,,S12 Beneficial ,S12 Detrimental,S12 Fitness,,S13 Beneficial ,S13 Detrimental,S13 Fitness,,S14 Beneficial ,S14 Detrimental,S14 Fitness,,S15 Beneficial ,S15 Detrimental,S15 Fitness,,S16 Beneficial ,S16 Detrimental,S16  Fitness,,S17 Beneficial ,S17 Detrimental,S17 Fitness,,S18 Beneficial ,S18 Detrimental,S18 Fitness,,S19 Beneficial ,S19 Detrimental,S19 Fitness,,S20 Beneficial ,S20 Detrimental,S20 Fitness,,S21 Beneficial ,S21 Detrimental,S21 Fitness,,S22 Beneficial ,S22 Detrimental,S22 Fitness,,S23 Beneficial ,S23 Detrimental,S23 Fitness,,S24 Beneficial ,S24 Detrimental,S24 Fitness,,S25 Beneficial ,S25 Detrimental,S25 Fitness,,S26 Beneficial ,S26 Detrimental,S26  Fitness,,S27 Beneficial ,S27 Detrimental,S27 Fitness,,S28 Beneficial ,S28 Detrimental,S28 Fitness,,S29 Beneficial ,S29 Detrimental,S29 Fitness,,S30 Beneficial ,S30 Detrimental,S30 Fitness
354,410.8036667,,272.828,,,,,408.98,276.26,1.481001938,,411.14,270.7,1.519192965,,408.06,273.7,1.491312371,,403.67,274.58,1.470676568,,410.65,273.21,1.503508984,,416.3,280.1,1.486809893,,412.97,271.66,1.520717707,,413.23,275.99,1.497880206,,405.89,270.42,1.501720628,,413.98,268.01,1.54551756,,411.78,272.19,1.513361044,,402.62,273.09,1.474684424,,410.63,274.12,1.49887504,,410.15,277.93,1.476417275,,414.73,280.95,1.476693869,,408.64,270.71,1.510029628,,415.13,265.84,1.56201062,,409.85,275.64,1.487257043,,414.19,269.79,1.535894595,,413.56,274.6,1.50658359,,412.57,271.95,1.517903552,,406.73,280.19,1.451904668,,417.4,272.32,1.533093516,,411.61,274.16,1.50227304,,408.37,267.61,1.526350165,,402.18,264.05,1.523936185,,409.35,268.5,1.525136508,,410.5,273.88,1.499342178,,414,275.11,1.505441221,,415.25,267.58,1.552671054
355,410.9903333,,272.7893333,,,,,408.22,275.89,1.480144523,,410.74,270.62,1.518205935,,408.17,273.87,1.490797654,,403.49,274.33,1.471383181,,410.82,272.95,1.505500989,,416.94,279.92,1.490079354,,413.34,271.76,1.521423606,,413.4,275.38,1.501696317,,406.12,270.35,1.502946311,,414.02,267.98,1.545799295,,411.9,272.6,1.511649519,,402.87,273,1.475968994,,410.8,273.71,1.501860868,,411.02,277.42,1.482382437,,414.64,280.95,1.476287987,,408.34,271.21,1.506241505,,415.84,265.89,1.564450442,,409.54,275.96,1.484359676,,414.39,270.3,1.533836747,,413.29,274.51,1.506010229,,412.62,271.89,1.518422671,,407.2,280.71,1.450970703,,417.2,271.79,1.535335005,,411.87,273.75,1.505241689,,409.46,267.87,1.528935156,,402.19,264.32,1.522247577,,411.06,269.27,1.527393707,,410.12,273.12,1.50214984,,415.14,275.11,1.509519333,,414.96,267.25,1.553251178
356,410.9966667,,272.814,,,,,408.08,276.12,1.478399857,,411.05,270.68,1.519053907,,408.72,274.5,1.489408839,,402.88,274.21,1.46979941,,410.87,272.84,1.506252333,,417.37,281.04,1.485727389,,413.4,272.3,1.518647221,,413.63,275.26,1.503215518,,405.03,269.73,1.502231619,,413.65,268.5,1.541400164,,411.4,272.53,1.510330666,,402.47,272.77,1.475586184,,410.47,272.99,1.5046429,,410.8,277.27,1.482404452,,414.57,280.86,1.476693604,,408,270.71,1.507916535,,415.54,265.76,1.564055992,,410.48,276.19,1.486564627,,414.51,270.17,1.534816526,,413.12,274.05,1.507925537,,412.71,271.81,1.519246496,,406.82,280.84,1.448971187,,417.59,272.35,1.533739656,,410.87,273.21,1.504628975,,410.86,268.34,1.531370201,,402.72,264.75,1.521920832,,412.02,269.09,1.532020238,,410.3,273.02,1.503377802,,415.18,274.97,1.51060569,,414.79,267.56,1.550779419
357,410.9356667,,272.7833333,,,,,408.29,276.3,1.478162435,,411.15,271.1,1.517218318,,408.26,274.86,1.485807368,,402.48,273.87,1.469964732,,411.08,272.76,1.507470803,,417.6,281.08,1.486287963,,413.26,272.4,1.517642426,,412.99,275.54,1.499310822,,404.65,269.74,1.500854188,,413.51,268.45,1.541156744,,412.18,272.87,1.511410568,,402.55,272.39,1.477813054,,410.74,272.62,1.507478782,,409.93,276.45,1.483579993,,414.73,280.73,1.477935721,,408.07,270.43,1.509617974,,415.75,266.29,1.561894523,,410,275.73,1.48725066,,414.37,269.88,1.535917014,,412.02,273.72,1.505823944,,412.93,272.04,1.51871715,,406.81,280.84,1.448929305,,417.26,272.1,1.533761974,,410.58,272.71,1.506231194,,410.93,268.76,1.529218041,,403.01,265.03,1.521562063,,411.83,269.03,1.531488201,,410.67,272.92,1.50513132,,415.24,274.31,1.514322099,,415.2,268.55,1.546676565
358,411.0933333,,272.833,,,,,408.4,276.2,1.479294122,,410.94,271.45,1.514431713,,408.95,274.6,1.489732987,,402.89,273.91,1.471374226,,411.53,273.13,1.507084755,,417.75,280.48,1.489924416,,413.38,272.65,1.5166963,,413.18,275.47,1.500290611,,404.34,269.87,1.49890515,,413.55,268.55,1.540694188,,412.49,272.98,1.512005683,,403.27,273.22,1.476043613,,410.62,273.02,1.504726388,,410.26,276.32,1.485657495,,414.33,280.68,1.476729906,,408.14,270.75,1.508108016,,415.88,266.2,1.562876704,,410.36,275.95,1.487367307,,414.43,270.32,1.533597618,,412.12,273.82,1.505754474,,412.68,271.18,1.522760799,,406.6,280.56,1.449595004,,417.56,272.1,1.534855051,,411.04,272.66,1.508291753,,411.93,269.14,1.530769821,,403.23,265.27,1.521045163,,410.75,268.68,1.529401723,,410.46,273.11,1.503355868,,416.18,274.52,1.516565694,,415.56,268.2,1.549973112
359,411.1393333,,272.8296667,,,,,408.25,275.29,1.483670191,,410.9,271.04,1.516373505,,409.72,274.54,1.493059069,,403.03,273.68,1.47297407,,412.33,273.85,1.506094062,,416.93,280.4,1.487410787,,412.73,272.59,1.5146836,,412.95,275.57,1.49892181,,404.13,269.89,1.497833892,,413.29,268.93,1.537527842,,412.77,273.41,1.510568235,,403.68,273.44,1.476461288,,410.11,273.08,1.502538093,,410.21,275.86,1.487876201,,413.03,280.46,1.473227428,,407.65,270.74,1.506330911,,416.25,266.16,1.564477578,,410.79,276.22,1.487525343,,415.47,270.5,1.536364938,,412.33,273.95,1.505766722,,412.68,271.39,1.521545059,,406.85,280.5,1.45073098,,418.19,272.15,1.537016922,,410.66,272.34,1.508694076,,412.72,269.29,1.532866323,,402.36,264.88,1.520167899,,411.25,269.28,1.527872409,,410.49,273.09,1.503569964,,416.25,274.15,1.518887984,,416.18,268.22,1.552297457
360,411.1916667,,272.854,,,,,408.83,275.26,1.485917411,,410.86,270.97,1.51665595,,410.25,274.75,1.493751357,,403.89,274.3,1.472893761,,412.78,274.01,1.507000871,,417.96,279.81,1.494104973,,412.78,272.79,1.513802204,,413.16,276.23,1.496217257,,404.05,269.88,1.497509211,,413.66,269.42,1.536107284,,411.86,272.94,1.509798231,,403.13,273.59,1.473758936,,409.81,272.54,1.504380629,,410.42,275.97,1.488024276,,412.05,280.26,1.470608538,,408.13,271.33,1.504853844,,415.8,265.95,1.564107139,,411.6,276.4,1.48946777,,416.76,270.4,1.541903503,,412.25,273.76,1.506585286,,412.01,270.98,1.521334216,,406.63,280.28,1.451165708,,417.37,271.63,1.53690799,,410.15,272.09,1.508200003,,412.79,269.61,1.531295366,,401.76,264.9,1.517789762,,411.29,269.71,1.525440841,,409.75,272.28,1.505337938,,416.94,274.36,1.520297605,,417.03,269.22,1.54977418
361,411.1023333,,272.8256667,,,,,409.02,275.29,1.486382333,,410.78,270.94,1.51651812,,410.28,274.79,1.493604651,,403.35,273.8,1.473533011,,412.37,274.29,1.503827927,,418.23,279.89,1.494716945,,412.84,272.45,1.515848479,,412.56,276.07,1.494824478,,404.42,269.77,1.499475134,,412.3,268.88,1.533945496,,411.17,272.95,1.507329664,,403.17,274.01,1.471760907,,409.77,272.43,1.504820975,,410.74,275.96,1.489274087,,412.15,281.06,1.466824824,,407.94,271.51,1.503128582,,415.76,265.36,1.56747991,,412.58,276.87,1.490539258,,417.28,270.63,1.542660681,,411.84,273.63,1.505783442,,412.62,271.17,1.522515468,,406.66,280.51,1.450110124,,416.68,270.87,1.53854535,,409.91,272.17,1.506831975,,413.01,270.25,1.528618418,,400.98,264.47,1.517389298,,410.92,269.17,1.527231301,,409.24,272.17,1.504123048,,417.46,274.76,1.519822864,,417.04,268.65,1.553181665
362,411.0336667,,272.7613333,,,,,409.45,275.19,1.488433782,,410.8,270.78,1.517511024,,410.24,274.65,1.49415019,,403.62,274.22,1.472215432,,412.43,274.9,1.500648837,,417.82,279.29,1.496378316,,412.64,273.07,1.511773012,,411.81,276.34,1.490622517,,403.94,270.02,1.496261197,,411.93,268.66,1.533777064,,411.07,272.57,1.508787199,,402.48,273.76,1.470581607,,409.84,272.2,1.506317893,,410.94,275.88,1.490352923,,411.65,281.08,1.464857214,,407.71,271.66,1.501309506,,416.11,264.68,1.572962261,,412.74,276.57,1.492732111,,416.68,270.54,1.540877416,,412.14,273.8,1.505873087,,412.71,270.98,1.523974039,,406.95,280.59,1.450805148,,416.16,269.97,1.541686299,,408.94,271.96,1.504226196,,413.84,270.84,1.528412169,,400.91,264.26,1.518212647,,411.03,269.12,1.527940277,,409.01,271.87,1.504987056,,417.48,274.59,1.520731818,,417.94,268.8,1.555861557
363,411.062,,272.747,,,,,408.98,275.19,1.486729514,,411.07,270.93,1.517660102,,409.41,274.64,1.491163785,,403.61,274.09,1.472803977,,412.49,275.54,1.497444506,,417.46,279.22,1.495470517,,412.12,272.78,1.511358899,,411.69,276.06,1.491667425,,405.15,270.56,1.497789859,,411.98,268.37,1.535607242,,411.33,272.17,1.511897678,,402.6,273.5,1.472608306,,409.97,272.41,1.505807368,,412.06,276.77,1.489639656,,412.2,281.23,1.46623395,,407.17,271.14,1.502221063,,416.03,265.29,1.569040552,,413.1,276.04,1.496885708,,416.9,271.09,1.538733783,,412.96,273.97,1.508173121,,412.33,271.28,1.521100407,,407.08,280.65,1.450996094,,415.21,269.59,1.540320734,,408.35,271.7,1.503423982,,414,270.49,1.531022924,,400.86,263.8,1.52066972,,411.67,269.63,1.527373453,,408.32,271.03,1.506879626,,417.97,274.42,1.523632154,,417.79,268.83,1.555036331
364,411.0416667,,272.7043333,,,,,409.14,275.24,1.487067269,,411.16,271.2,1.516529067,,408.46,274.21,1.489958727,,404.36,274.66,1.472490087,,412.48,275.85,1.495717492,,416.8,279.25,1.4929771,,412.14,272.92,1.510805463,,411.92,275.86,1.49357612,,405.63,271.01,1.497096,,412.73,269,1.53488647,,412.14,272.59,1.512501358,,402.2,273.08,1.473236625,,410.35,272.54,1.506318725,,411.26,276.55,1.487825592,,412.86,281.22,1.468688047,,407.9,271.2,1.504569397,,415.28,265.48,1.565166738,,413.88,276.2,1.49894799,,417.21,271.37,1.538663517,,412.26,273.1,1.510448541,,411.73,270.75,1.521960644,,406.22,279.77,1.452436233,,414.13,268.67,1.541748152,,407.38,270.95,1.503819652,,414.78,270.68,1.532742175,,401.4,263.99,1.521674675,,411.76,269.44,1.52875507,,408.7,271.57,1.505295713,,417.09,274.23,1.521576186,,417.9,268.55,1.556899181
365,411.1066667,,272.6903333,,,,,408.97,274.85,1.488504108,,410.77,271.54,1.513205732,,408.61,274.08,1.49123157,,403.66,274.85,1.468885231,,411.35,275.58,1.493073631,,416.84,280.21,1.488001384,,412.47,272.83,1.51245016,,412.22,276.02,1.493820812,,404.91,270.76,1.495789102,,412.31,269.15,1.53240073,,411.92,272.68,1.511223036,,402.49,273.34,1.472942008,,410.92,272.14,1.510825239,,411.68,276.64,1.48894736,,412.74,281.14,1.468816312,,408.92,271.51,1.506540757,,414.81,264.82,1.567338051,,414.33,276.24,1.50034438,,418.11,271.42,1.54172229,,412.39,272.87,1.51211129,,411.76,269.9,1.526894954,,406.64,279.87,1.453528439,,414.27,269.29,1.538773367,,407.18,270.83,1.503841716,,414.46,270.23,1.534100621,,400.82,263.5,1.522334571,,412.46,269.58,1.530466331,,409.03,271.61,1.506223633,,417.48,274.26,1.52272347,,418.68,268.97,1.557390971
366,411.2183333,,272.7753333,,,,,409.11,275.09,1.487684283,,410.21,271.53,1.511105463,,409.17,274.23,1.49249354,,405.37,275.85,1.469983099,,411.3,275.22,1.494879205,,415.99,279.76,1.487333956,,412.62,272.36,1.515586381,,412.62,275.71,1.497062283,,405.14,270.87,1.496139658,,412.2,269.35,1.530785291,,411.38,272.62,1.50946317,,402.4,272.43,1.477456618,,411.95,272.12,1.514867364,,411.57,276.01,1.491904122,,412.03,280.77,1.468086414,,409.56,271.65,1.508087421,,414.04,265.06,1.56304012,,414.9,276.53,1.500839077,,417.75,271.02,1.542752059,,412.51,273.04,1.511523723,,411.49,270.19,1.524368613,,406.74,279.61,1.455176523,,414.55,270.3,1.534175635,,408.02,271.71,1.502069194,,414.36,270.86,1.530165662,,401.1,263.57,1.522974306,,412.79,269.83,1.530266768,,409.7,272.72,1.502640642,,417.53,274.37,1.522235441,,418.45,268.88,1.557175079
367,411.124,,272.851,,,,,408.5,274.36,1.489354308,,409.86,272.11,1.506586455,,409.77,273.7,1.497580576,,405.49,275.9,1.470109846,,410.49,275.15,1.492273598,,415.71,280.12,1.484378479,,412.39,272.32,1.515035127,,412.76,275.52,1.498497873,,405.28,270.58,1.498301641,,411.87,270.41,1.523699513,,411.04,272.65,1.508125734,,403.53,273.38,1.476690771,,411.47,271.92,1.514125446,,410.81,276.39,1.487163557,,411.48,280.51,1.467451147,,410.43,272.41,1.507116252,,413.55,264.86,1.562277779,,414.64,276.3,1.50111887,,417.21,270.27,1.544926861,,412.59,272.88,1.512737223,,410.65,270.42,1.519909,,406.87,279.74,1.455107619,,415.23,271.05,1.532449025,,407.81,271.35,1.503230732,,414.77,270.94,1.531184867,,400.73,263.44,1.522127638,,412.24,270.41,1.524951317,,409.67,272.65,1.503238281,,417.93,274.53,1.522898668,,418.95,269.26,1.556906353
368,411.2236667,,272.8146667,,,,,408.2,274.69,1.486340829,,410.24,273.03,1.503035728,,410.47,273.4,1.501932218,,405.78,276.53,1.467706516,,410.24,274.46,1.495167142,,415.35,280.3,1.482132692,,412.16,272.15,1.514938708,,413.01,275.66,1.498737925,,405.21,270.46,1.498800357,,412.55,270.8,1.523948066,,410.9,273.37,1.503578199,,403.34,272.74,1.479227019,,411.31,271.67,1.514991656,,411.46,276.79,1.487237009,,411.46,279.99,1.470174641,,410.64,272.72,1.506109407,,413.78,264.58,1.564644298,,415,276.33,1.502315514,,416.24,269.4,1.546136096,,413.2,272.98,1.514457711,,410.41,270.07,1.520732887,,407.05,279.26,1.45807453,,414.99,271.16,1.530799285,,408.86,271.58,1.505851118,,415.7,271.49,1.531584355,,400.96,262.75,1.526933911,,411.58,270.54,1.521617136,,408.97,272.63,1.500719363,,418.58,274.55,1.52525115,,419.07,268.36,1.562401159
369,411.3496667,,272.815,,,,,408.55,275,1.486119554,,410.37,273.06,1.503341597,,409.82,273.35,1.499798097,,405.65,276.81,1.465780238,,410.09,273.99,1.497064576,,415.23,280.55,1.480390329,,411.81,272.13,1.513725761,,412.64,275.67,1.497278408,,406.16,270.73,1.500996921,,412.01,270.57,1.523250601,,410.95,273.71,1.501956072,,403.67,273.03,1.47899696,,412.05,271.43,1.519177496,,411.8,276.06,1.492428521,,410.95,279.46,1.47098349,,410.75,272.44,1.508046059,,413.35,264.52,1.563523725,,414.94,276.32,1.502070696,,416.6,268.79,1.550905105,,413.4,273.14,1.514155867,,410.48,269.88,1.522084215,,407.15,279.1,1.459159434,,414.82,271.41,1.528708761,,409.12,272.02,1.504403064,,416.24,272.01,1.530771217,,401.21,262.71,1.528136098,,411.49,270.73,1.520294945,,410.18,272.78,1.504424211,,418.83,274.13,1.528719843,,420.18,268.92,1.563323764
370,411.2873333,,272.7643333,,,,,408.62,274.43,1.489344777,,409.57,273.48,1.498113704,,409.46,272.66,1.502216431,,405.29,276.84,1.464349396,,410.08,273.95,1.497219254,,415.13,280.93,1.477933673,,411,272.49,1.508770788,,412.83,275.88,1.496851833,,406.47,270.7,1.502279655,,411.68,270.31,1.523353335,,410.18,273.42,1.500703215,,404.13,273.09,1.480285616,,412.74,271.43,1.521750247,,411.18,275.97,1.490536355,,410.93,279.11,1.472670364,,410.99,272.6,1.50805559,,412.63,264.39,1.561320387,,414.92,276.44,1.501500117,,416.2,267.5,1.55687187,,413.33,272.82,1.515577183,,410.27,269.7,1.522192141,,408.25,279.29,1.462117545,,415.43,272.11,1.527099087,,409.66,272.34,1.504717104,,416.39,271.99,1.531299452,,400.83,262.25,1.529142949,,411.46,270.97,1.518943338,,409.96,272.87,1.503104699,,418.46,274.21,1.526795692,,420.55,268.76,1.565644758
371,411.324,,272.7483333,,,,,408.94,274.14,1.492132059,,408.46,273.3,1.495074959,,409.53,273.29,1.49912892,,405.97,276.85,1.466833255,,410.62,273.79,1.500144992,,415.2,280.84,1.478712284,,411.01,272.38,1.50945542,,412.75,275.74,1.497191266,,406.47,270.86,1.501321809,,412.27,270.77,1.52292166,,410.95,273.72,1.502038617,,403.96,273.27,1.478637417,,413.36,271.3,1.52469311,,411.92,275.93,1.493444954,,410.14,279.1,1.469880787,,410.37,272.22,1.50782145,,413.06,265.07,1.55897214,,415.26,276.05,1.504718585,,416.52,267,1.560849374,,413.5,272.28,1.519352303,,410.11,269.35,1.523545864,,408.2,279.54,1.460697037,,415.2,272.55,1.523956956,,409.77,272.18,1.506015879,,416.5,272.47,1.529027995,,400.58,262.43,1.527125478,,411.04,271.18,1.516191616,,409.32,272.4,1.50340094,,418.61,273.69,1.530358871,,420.13,268.76,1.564047868
372,411.472,,272.8666667,,,,,409.05,274.22,1.492134666,,408.79,272.94,1.498185099,,409.85,274.14,1.495689778,,405.77,276.9,1.465758901,,411.4,274.18,1.500910837,,415.62,280.99,1.479464058,,410.54,272.11,1.509136509,,413.04,275.82,1.497918657,,406.4,270.96,1.50057223,,412.47,271.61,1.51897455,,410.26,273.7,1.499684157,,404.75,274.04,1.477449631,,413.29,271,1.526001663,,412.52,276.1,1.49464197,,410.61,279.56,1.469164905,,410.33,272.79,1.504505147,,413.33,265.27,1.558836975,,415.63,275.61,1.508430509,,416.78,267.52,1.558914858,,413.39,271.54,1.522984517,,409.64,269.13,1.523245765,,407.52,279.42,1.458795285,,415.31,272.55,1.524460164,,410.92,272.57,1.508165472,,416.25,272.36,1.528811934,,400.57,262.21,1.528430003,,411.55,271.27,1.517557655,,409.98,272.52,1.505018348,,418.5,273.95,1.528520478,,420.1,269.02,1.562325983
373,411.5306667,,272.8673333,,,,,409.36,274.49,1.491807128,,409.28,272.52,1.502335592,,410.36,273.59,1.500591594,,406.05,277.09,1.465766745,,411.41,274.42,1.499748772,,415.31,281.05,1.478169048,,410.44,271.67,1.511188386,,413.05,275.96,1.497164965,,406.63,270.63,1.503195477,,412.3,271.56,1.51857155,,410.08,273.38,1.500773882,,405.06,274.43,1.476508311,,412.79,270.38,1.527624985,,412.56,276.45,1.492892203,,411.07,279.96,1.468839446,,409.94,273.19,1.500837096,,412.43,264.89,1.557637533,,415.8,275.8,1.507934407,,416.91,268.2,1.5553544,,413.45,271.7,1.52232252,,408.83,268.37,1.524409137,,407.58,279.75,1.457333405,,415.58,273.09,1.52268491,,410.8,272.75,1.506801338,,416.38,272.25,1.529920855,,399.8,261.4,1.530169318,,412.92,271.73,1.519961732,,411.38,272.62,1.509664469,,418.45,273.47,1.531154477,,419.92,269.23,1.560451893
374,411.5863333,,272.9333333,,,,,409.66,275.11,1.489624234,,409.4,272.3,1.50410886,,410.98,273.9,1.501313604,,406.67,276.91,1.46911085,,411.81,274.59,1.50020599,,415.76,281.22,1.478975527,,410.1,272.34,1.506181022,,412.9,276.51,1.49370006,,406.97,270.97,1.502567802,,412.86,271.66,1.520121677,,410.48,273.07,1.503755051,,406.18,274.91,1.47803521,,412.98,270.1,1.529792956,,411.99,276.15,1.492421718,,411.18,280.3,1.467525402,,409.35,274.02,1.494251823,,413.01,265.38,1.556996713,,415.37,275.94,1.505670385,,416.74,268.01,1.55579179,,413.58,271.67,1.523076414,,408.17,268.45,1.52137014,,407.7,279.63,1.458414001,,416.22,273,1.525384364,,409.5,271.91,1.506696034,,416.29,272.21,1.529847665,,399.47,261.38,1.528832842,,413.19,271.66,1.521372879,,411.73,272.94,1.509159079,,418.41,272.73,1.53521364,,418.94,269.03,1.5578216
375,411.5,,272.906,,,,,408.98,275.06,1.487495229,,409.04,272.26,1.502948409,,411.22,274.14,1.500655166,,407.11,277.03,1.470063132,,411.48,274.48,1.499681856,,415.71,281,1.479843144,,409.71,272.88,1.501809835,,413.46,276.91,1.493630027,,407.44,271.44,1.501705207,,413.34,271.49,1.52285808,,410.22,273.38,1.501107377,,404.99,274.15,1.47773634,,414.44,269.78,1.537188229,,411.6,275.63,1.493917751,,411.45,280.32,1.468369322,,409.13,273.97,1.4937895,,412.32,265.79,1.55200462,,415.61,276.01,1.506198736,,416.95,267.72,1.558532444,,413.36,271.52,1.523054875,,407.49,268.02,1.521097197,,407.99,279.56,1.459915264,,415.42,272.37,1.525800224,,409.4,271.63,1.507834606,,416.69,271.96,1.532866724,,399.65,261.94,1.526211427,,413.22,271.64,1.521535463,,411.33,273.56,1.504210304,,417.87,272.17,1.536283425,,418.38,269.37,1.553745056
376,411.6123333,,272.9886667,,,,,408.56,275.15,1.485549603,,409.36,272.31,1.503749718,,411.82,274.21,1.502474951,,407.61,276.88,1.472715246,,411.12,274.14,1.50025045,,416.03,281.63,1.477660803,,409.91,273.3,1.500245768,,414.27,277.23,1.495066776,,407.36,271.55,1.500776716,,414.18,271.52,1.525818875,,410.42,273.55,1.500788635,,404.57,274.31,1.47534958,,413.59,269.32,1.536508902,,411.29,274.63,1.498120982,,411.28,280.01,1.469392776,,409.9,274.42,1.494259843,,412.29,265.09,1.555912292,,414.94,275.91,1.504365017,,417.57,267.84,1.560301138,,413.15,271.25,1.523739154,,406.89,267.67,1.520734284,,408.06,279.15,1.4622239,,416.07,273.68,1.52101167,,409.64,272.1,1.506184805,,416.27,272.4,1.528914249,,399.91,262.32,1.525131977,,413.47,271.94,1.5207946,,412.62,274.49,1.503865417,,417.95,272.13,1.536761149,,418.27,269.53,1.552486556
377,411.6676667,,272.881,,,,,408.44,274.93,1.486326808,,409.59,272.38,1.504218388,,411.84,273.84,1.504613927,,407.46,276.15,1.475976576,,411.26,274.45,1.499092544,,416.56,282.04,1.477537801,,409.84,273.37,1.49961063,,414.81,277.07,1.497786345,,407.48,271.41,1.502091742,,414.06,271.31,1.52656751,,410.6,272.96,1.504711911,,404.24,274.59,1.472552728,,413.94,269.35,1.537648895,,410.61,273.72,1.500596858,,411.55,279.13,1.474898112,,409.61,274.16,1.494502173,,411.98,265.18,1.554173613,,415.14,276.66,1.501081317,,417.46,267.23,1.563416498,,412.73,271.08,1.523048614,,407.36,267.46,1.523653862,,408.37,279.23,1.462821477,,415.71,273.43,1.520921834,,410.1,271.63,1.510460432,,416.34,272.58,1.528180054,,400.61,263.05,1.523545893,,412.81,272.15,1.517203727,,412.81,275.26,1.500346371,,418.75,272.04,1.540106185,,417.97,268.59,1.556922709
378,411.727,,272.9053333,,,,,408.15,274.68,1.486632934,,409.46,272.33,1.504089715,,411.81,273.4,1.506855305,,407.52,276.68,1.473388493,,411.18,274.72,1.497210876,,416.03,281.63,1.477786395,,409.57,273.21,1.49954945,,414.39,277.79,1.492576588,,407.66,271.06,1.504607862,,411.89,270.69,1.521836651,,411.25,273.32,1.505239064,,405.31,275.45,1.471924906,,414.1,269.38,1.53806361,,410.53,273.91,1.499127072,,411.4,278.74,1.476409305,,409.53,274.46,1.492533311,,411.65,265.09,1.553344397,,414.8,276.01,1.5033471,,418.42,266.84,1.569370493,,412.3,271.11,1.521159386,,407.73,267.27,1.526059016,,408.3,279.76,1.459819109,,415.34,273.42,1.519507386,,410.72,271.35,1.514164925,,417.29,272.65,1.531311344,,400.96,263.22,1.523904122,,412.72,272.68,1.513920715,,413.87,274.81,1.506794334,,419.14,271.99,1.541887125,,418.79,269.51,1.5546586
379,411.856,,272.9566667,,,,,408.09,274.74,1.485979703,,409.33,272.53,1.502575325,,411.77,272.96,1.509180545,,407.4,276.85,1.471963441,,410.89,274.78,1.495851773,,415.65,280.9,1.480213021,,409.6,273.11,1.500271213,,414.42,278.06,1.491111356,,407.08,270.51,1.505438455,,413.08,271.39,1.522439555,,411.26,273.36,1.504993876,,406.25,276.69,1.468757781,,414.36,269.02,1.541067823,,411.27,274.18,1.500383888,,410.86,278.87,1.47383939,,410.67,274.56,1.496305984,,411.98,265.43,1.552632956,,415.04,276.13,1.503675768,,418.35,266.49,1.571012914,,412.07,271.01,1.520901189,,407.88,267.42,1.525879646,,408.16,279.93,1.458406441,,415.7,273.54,1.520124628,,410.33,271.23,1.513364191,,417.25,272.91,1.52965523,,401.58,262.7,1.529443822,,412.03,272.69,1.511344839,,414.25,274.61,1.509396793,,419.76,272.38,1.541981809,,419.32,269.72,1.555286181
380,411.914,,272.9506667,,,,,407.8,274.09,1.488613973,,409.13,272.35,1.502801537,,411.42,272.98,1.507768766,,407.95,276.91,1.473643542,,410.5,274.37,1.496607157,,415.86,280.73,1.481802179,,409.59,273.67,1.49719174,,414.76,277.85,1.493423726,,407.03,270.37,1.505889478,,413.9,271.87,1.522805984,,411.48,273.51,1.504942162,,405.63,276.08,1.46964373,,414.74,268.52,1.545233081,,411.56,274.44,1.500057595,,411.05,279.3,1.472352625,,411.57,275.26,1.49588137,,412.03,265.42,1.552990581,,414.82,275.47,1.506454119,,418.27,266.72,1.569106922,,412.29,271.08,1.52127584,,407.74,267.38,1.525513223,,408.39,279.95,1.459137952,,416.21,273.7,1.521047805,,410.84,271.23,1.515277458,,416.67,273.1,1.526261888,,400.96,262.89,1.52594631,,411.93,272.77,1.510677502,,414.27,274.67,1.509201999,,419.51,271.89,1.543723565,,419.52,269.95,1.554789206
381,411.7946667,,272.9916667,,,,,407.99,273.39,1.493000187,,409.9,271.95,1.508008061,,411.07,273,1.506327689,,407.57,276.96,1.47197931,,410.26,274.4,1.495542219,,415.9,280.75,1.481743052,,410.1,273.63,1.499235375,,414.72,278.09,1.491990731,,406.92,270.45,1.505023721,,413.86,272.43,1.519600627,,411.16,273.44,1.504092284,,405.04,276.08,1.467498505,,415.04,269.11,1.543092242,,411.29,274.65,1.497861156,,410.71,279.51,1.469983946,,411.83,275.53,1.495413685,,411.75,265.38,1.552314227,,414.46,275.83,1.503153171,,417.41,266.35,1.568002128,,412.44,271.07,1.521905765,,408.06,267.8,1.524270134,,408.54,280.53,1.456886417,,416.4,273.38,1.523582818,,411.1,270.95,1.517746659,,416.02,272.21,1.528713261,,401.21,264.05,1.520099496,,411.31,272.99,1.507195372,,414.65,274.78,1.510129187,,418.86,271.16,1.545643505,,418.27,269.9,1.550398129
